LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
105428,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Veridian CU
105428,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Veridian CU
105428,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Veridian CU
105428,198,FEB,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Veridian CU
76898,18,Fraud - Declined,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
76898,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
76898,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
76898,77,Alliant CU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
76898,77,Alliant CU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
76898,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
86535,77,Alliant CU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
86535,77,Alliant CU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
86535,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
86535,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
86535,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Alliant CU
90200,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Teachers FCU
90200,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Teachers FCU
90200,83,Teachers FCU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Teachers FCU
90200,83,Teachers FCU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Teachers FCU
90200,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,Teachers FCU
113370,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,First Tech FCU
113370,79,First Tech FCU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,First Tech FCU
113370,79,First Tech FCU,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,First Tech FCU
113370,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,First Tech FCU
113370,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-15,Charged Off,,No,First Tech FCU
77846,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
77846,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
77846,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
77846,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
77846,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
77846,18,Fraud - Declined,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
96342,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,GreenState CU
96342,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,GreenState CU
96342,86,GreenState CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,GreenState CU
96342,86,GreenState CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,GreenState CU
96342,86,GreenState CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,GreenState CU
96342,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,GreenState CU
99235,17,Identity Theft Fraud - Confirmed,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,72,Do Not Call,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,74,Do Not Email,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,73,Do Not SMS,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,75,Do Not Mail,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
