Assignment Date,Status,Batch,Product,Original Creditor,Account Public ID,External Account ID,Creditor Recalled?,Has Valid SSN?,Has User Name?,Has Email?,Has Phone?,Has Address?,No Origination Date,Is Deceased?,Is Bankruptcy?,User ID,Account ID,Charge Off Amount ($),Charge Off Date,Last payment Amount ($),Last Payment Date,Face Value ($)
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0702873608,PC9D3772FA38C,False,True,True,True,True,True,False,False,True,"485,039","535,013","5,104.52","May 24, 2025",469.11,"Dec 24, 2024","5,427.17"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0709361672,P40DE7294AE42,False,True,True,False,True,True,False,False,True,"485,135","535,112","29,198.59","Apr 15, 2025",962.97,"Jul 16, 2024","32,589.47"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0714014728,P60D21935EF1B,False,True,True,True,True,True,False,False,True,"485,206","535,183","14,061.99","Apr 14, 2025",585.38,"Nov 15, 2024","15,368.9"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0721420296,PED5CC37D39BC,False,True,True,True,True,True,False,False,True,"485,319","535,296","11,363.19","Jun 28, 2025",351.86,"Jan 10, 2025","12,211.9"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0723910664,PD7EAE8B46A14,False,True,True,True,True,True,False,False,True,"485,356","535,334","17,898.77","Apr 11, 2025",642.29,"Nov 12, 2024","18,664.2"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0725090312,P72093B49CAAB,False,True,True,True,True,True,False,False,True,"485,374","535,352","11,769.17","Apr 27, 2025","1,222.2","Nov 29, 2024","12,620.45"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0730202120,P550824504FFE,False,True,True,True,True,True,False,False,True,"485,452","535,430","9,216.5","Jun 9, 2025",940.23,"Nov 12, 2024","9,641.06"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0732561416,P448228396A19,False,True,True,True,True,True,False,False,True,"485,488","535,466","24,556.85","Apr 27, 2025",888.3,"Dec 28, 2024","27,296.02"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0737280008,PBD5A7A12A50E,False,True,True,True,True,True,False,False,True,"485,558","535,538","17,005.34","Apr 4, 2025",635.65,"Dec 5, 2024","18,026.31"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0656736264,P950C62B7AA27,False,True,True,True,True,True,False,False,True,"484,341","534,309","2,804.14","Jun 19, 2025",210.05,"Jan 19, 2025","2,987.59"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0658571272,PF02BC2E3B112,False,True,True,True,True,True,False,False,True,"484,369","534,337","27,660.37","Apr 21, 2025",200,"Nov 22, 2024","30,614.63"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0659292168,PD4FF2A22D4AC,False,True,True,False,True,True,False,False,True,"484,380","534,348","33,470.58","May 17, 2025",276,"Nov 19, 2024","35,492.67"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0673841160,PDCC6744FA640,False,True,True,True,True,True,False,False,True,"484,599","534,570","6,891.17","May 15, 2025",670.2,"Dec 15, 2024","7,284.52"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0676855816,PAE2A7A6C963C,False,True,True,True,True,True,False,False,True,"484,645","534,616","4,285.76","Jun 7, 2025",80,"May 7, 2025","4,645.44"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0686489608,P959E2AA4C241,False,True,True,True,True,True,False,False,True,"484,791","534,763","6,825.66","May 22, 2025",647.23,"Oct 22, 2024","7,162.95"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0696909832,P9C945550440C,False,True,True,True,True,True,False,False,True,"484,948","534,922","35,486.36","May 13, 2025",903.99,"Dec 13, 2024","37,364.16"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0706871304,PCE203815683F,False,True,True,True,False,True,False,False,True,"485,097","535,074","7,003.42","May 28, 2025",437.61,"Dec 28, 2024","7,461.57"
"Aug 5, 2025",Bankrupt,HM_AUG_25_MSUFCU_25Q2,Personal Loan,"Happy Money, Originated by Michigan State University Federal Credit Union",BA-0708182024,PB895649CD573,False,True,True,True,True,True,False,False,True,"485,117","535,094","11,652.99","Jun 14, 2025",613.61,"Jan 14, 2025","12,420.64"
