LP_LOAN_ID,LOANID,SETTINGS_ID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,PLACEMENT_STATUS_ENDDATE
99856,PB57A25B989E1,99856,Resurgent,2025-07-31,
97948,PB59AAC9CB799,97948,Resurgent,2025-07-31,
99976,PB59F125F49A3,99976,Resurgent,2025-07-31,
96950,PB5A8A2057E06,96950,Resurgent,2025-07-31,
98551,PB5AFA669D1F6,98551,Resurgent,2025-07-31,
99962,PB6453B2ACEBA,99962,Resurgent,2025-07-31,
100075,PB69347D8A72A,100075,Resurgent,2025-07-31,
98907,PB6A896F04760,98907,Resurgent,2025-07-31,
97234,PB6AE2C2A9AFF,97234,Resurgent,2025-07-31,
69265,PB6B533EEFCD7,69265,Resurgent,2025-07-31,
73254,PB6C9D10549FE,73254,Resurgent,2025-07-31,
99858,PB6F5C190784F,99858,Resurgent,2025-07-31,
97409,PB73B2FE357BC,97409,Resurgent,2025-07-31,
67433,PB75D8A78138F,67433,Resurgent,2025-07-31,
73697,PB765A31858B5,73697,Resurgent,2025-07-31,
100695,PB794D03759D7,100695,Resurgent,2025-07-31,
99189,PB7AEB89B168C,99189,Resurgent,2025-07-31,
98196,PB7BC22CF3A5C,98196,Resurgent,2025-07-31,
98528,PB7BE149738DE,98528,Resurgent,2025-07-31,
67422,PB817CD2C1C5D,67422,Resurgent,2025-07-31,
100637,PB866F80FC8AA,100637,Resurgent,2025-07-31,
100022,PB86A370003BC,100022,Resurgent,2025-07-31,
97992,PB8700226F677,97992,Resurgent,2025-07-31,
69163,PB878B0900C71,69163,Resurgent,2025-07-31,
99372,PB8BDF34F5224,99372,Resurgent,2025-07-31,
97044,PB8EEDA8B18D9,97044,Resurgent,2025-07-31,
98365,PB9117F2AA789,98365,Resurgent,2025-07-31,
67782,PB9173CE0FE9C,67782,Resurgent,2025-07-31,
99988,PB9204AF70611,99988,Resurgent,2025-07-31,
99566,PB955DE2DF767,99566,Resurgent,2025-07-31,
98173,PB9ADDC20A39F,98173,Resurgent,2025-07-31,
71562,PB9CD7E138364,71562,Resurgent,2025-07-31,
100472,PB9D24DEFACD2,100472,Resurgent,2025-07-31,
96931,PBA2A4D38C8FA,96931,Resurgent,2025-07-31,
97980,PBA4D7686BEA1,97980,Resurgent,2025-07-31,
73404,PBAA71AB0BCBE,73404,Resurgent,2025-07-31,
69600,PBAB0B621790F,69600,Resurgent,2025-07-31,
100604,PBACA455DE13B,100604,Resurgent,2025-07-31,
71003,PBAE6B2C30BB5,71003,Resurgent,2025-07-31,
70852,PBB12566E6EB1,70852,Resurgent,2025-07-31,
97285,PBB16DC72C690,97285,Resurgent,2025-07-31,
98179,PBB2B9BFD5FE6,98179,Resurgent,2025-07-31,
99102,PBB768676A48A,99102,Resurgent,2025-07-31,
98639,PBB8996F2082A,98639,Resurgent,2025-07-31,
98787,PBBB96B1528E5,98787,Resurgent,2025-07-31,
99906,PBBC01A497CA9,99906,Resurgent,2025-07-31,
99308,PBBF594E04C00,99308,Resurgent,2025-07-31,
98489,PBBFF338156FC,98489,Resurgent,2025-07-31,
72198,PBC355D858DCE,72198,Resurgent,2025-07-31,
98186,PBC69A014BD26,98186,Resurgent,2025-07-31,
97080,PBC93CE947375,97080,Resurgent,2025-07-31,
97207,PBCD6E7B9894E,97207,Resurgent,2025-07-31,
97228,PBCEB38C07B01,97228,Resurgent,2025-07-31,
68533,PBD05B7FD418F,68533,Resurgent,2025-07-31,
100657,PBD1A79BE47B7,100657,Resurgent,2025-07-31,
96901,PBD31C2F6521E,96901,Resurgent,2025-07-31,
68461,PBD33490EF2F1,68461,Resurgent,2025-07-31,
98253,PBD3D8709B1A3,98253,Resurgent,2025-07-31,
74387,PBD4E736600CC,74387,Resurgent,2025-07-31,
97217,PBD6AF9AEE78C,97217,Resurgent,2025-07-31,
97198,PBDC526158008,97198,Resurgent,2025-07-31,
74382,PBDD0AF456261,74382,Resurgent,2025-07-31,
96610,PBDD8C419571F,96610,Resurgent,2025-07-31,
69685,PBE1B02BBEAF1,69685,Resurgent,2025-07-31,
96879,PBE40D1383843,96879,Resurgent,2025-07-31,
98217,PBE8DA02DC838,98217,Resurgent,2025-07-31,
99547,PBEC8D17D9AE7,99547,Resurgent,2025-07-31,
99101,PBECCB17CDCB8,99101,Resurgent,2025-07-31,
98491,PBF397FF5F664,98491,Resurgent,2025-07-31,
99842,PBF6D2FBD92A6,99842,Resurgent,2025-07-31,
97056,PBF7B645588E9,97056,Resurgent,2025-07-31,
98504,PBF81441279E8,98504,Resurgent,2025-07-31,
96898,PC0141904D59E,96898,Resurgent,2025-07-31,
100463,PC04FD51B9414,100463,Resurgent,2025-07-31,
74664,PC093317FB19D,74664,Resurgent,2025-07-31,
98059,PC0EE8EB93232,98059,Resurgent,2025-07-31,
97074,PC10958CDB2DB,97074,Resurgent,2025-07-31,
97015,PC1150F01ECA8,97015,Resurgent,2025-07-31,
99868,PC116686CF92E,99868,Resurgent,2025-07-31,
66990,PC1569E0F2215,66990,Resurgent,2025-07-31,
74889,PC1B6EAB1BB2F,74889,Resurgent,2025-07-31,
96651,PC1C831D6EDF3,96651,Resurgent,2025-07-31,
99629,PC1F11E4AB920,99629,Resurgent,2025-07-31,
98706,PC26E20D7D5EB,98706,Resurgent,2025-07-31,
100379,PC295BBE373BF,100379,Resurgent,2025-07-31,
69816,PC2B0B54B524D,69816,Resurgent,2025-07-31,
100903,PC2D4231CE915,100903,Resurgent,2025-07-31,
96932,PC30ABF857566,96932,Resurgent,2025-07-31,
99736,PC31F6085A153,99736,Resurgent,2025-07-31,
100408,PC3532C227A33,100408,Resurgent,2025-07-31,
69770,PC3C01B27534C,69770,Resurgent,2025-07-31,
97433,PC3D41A53F292,97433,Resurgent,2025-07-31,
98372,PC46E3FF005B4,98372,Resurgent,2025-07-31,
67135,PC479279CBA21,67135,Resurgent,2025-07-31,
98389,PC47E97C3E1B3,98389,Resurgent,2025-07-31,
97907,PC4E4761964E9,97907,Resurgent,2025-07-31,
99699,PC5009EAB7920,99699,Resurgent,2025-07-31,
67721,PC516DF403BCA,67721,Resurgent,2025-07-31,
100257,PC52166AD4C45,100257,Resurgent,2025-07-31,
72469,PC53E0928D04F,72469,Resurgent,2025-07-31,
99013,PC568729B3F81,99013,Resurgent,2025-07-31,
98752,PC5981CEECE2B,98752,Resurgent,2025-07-31,
71427,PC5A55688EA7D,71427,Resurgent,2025-07-31,
99482,PC5BE26EA67CE,99482,Resurgent,2025-07-31,
100396,PC5CC443C0213,100396,Resurgent,2025-07-31,
100705,PC5DAE43263E3,100705,Resurgent,2025-07-31,
97721,PC5F0EDDD0378,97721,Resurgent,2025-07-31,
96824,PC6243B37E24E,96824,Resurgent,2025-07-31,
97882,PC645580F3EB9,97882,Resurgent,2025-07-31,
99696,PC6A46A5D351C,99696,Resurgent,2025-07-31,
99640,PC6A96BB39704,99640,Resurgent,2025-07-31,
100862,PC6ABFB0A1ABF,100862,Resurgent,2025-07-31,
66761,PC6D49CA4A954,66761,Resurgent,2025-07-31,
99070,PC701819DB493,99070,Resurgent,2025-07-31,
96893,PC7026BB27C50,96893,Resurgent,2025-07-31,
98647,PC7514C440177,98647,Resurgent,2025-07-31,
67110,PC75D5AEFB6E0,67110,Resurgent,2025-07-31,
98139,PC75FD3BA1403,98139,Resurgent,2025-07-31,
67060,PC763B1FC992F,67060,Resurgent,2025-07-31,
100549,PC79637941551,100549,Resurgent,2025-07-31,
100220,PC7B683601802,100220,Resurgent,2025-07-31,
100821,PC7B7059F2E51,100821,Resurgent,2025-07-31,
98244,PC7D7A4AD885B,98244,Resurgent,2025-07-31,
100530,PC7F640CB63EA,100530,Resurgent,2025-07-31,
98736,PC81ABE1EBD91,98736,Resurgent,2025-07-31,
99601,PC82D551691CD,99601,Resurgent,2025-07-31,
97443,PC82DD635E5DB,97443,Resurgent,2025-07-31,
96987,PC841D433DEED,96987,Resurgent,2025-07-31,
96896,PC889AD3B3F4F,96896,Resurgent,2025-07-31,
97338,PC8BDDA71DD20,97338,Resurgent,2025-07-31,
69836,PC8CC0596080D,69836,Resurgent,2025-07-31,
69785,PC8EEB307D185,69785,Resurgent,2025-07-31,
69142,PC940A1722D5E,69142,Resurgent,2025-07-31,
99091,PC943E69A3FC4,99091,Resurgent,2025-07-31,
71109,PC94CE9114AC3,71109,Resurgent,2025-07-31,
98645,PC97198268D57,98645,Resurgent,2025-07-31,
98588,PC98740683574,98588,Resurgent,2025-07-31,
69126,PC9889F2CA508,69126,Resurgent,2025-07-31,
98951,PC9C8E4A836A9,98951,Resurgent,2025-07-31,
97312,PC9C9DD8FDC1A,97312,Resurgent,2025-07-31,
70170,PCA330CACA049,70170,Resurgent,2025-07-31,
99577,PCA56F4A37DAA,99577,Resurgent,2025-07-31,
98795,PCA7415479319,98795,Resurgent,2025-07-31,
99735,PCAAFDB2F7E4E,99735,Resurgent,2025-07-31,
98268,PCAC99878D3B0,98268,Resurgent,2025-07-31,
99036,PCAD8A6A1E2C1,99036,Resurgent,2025-07-31,
67686,PCAE544DD01B5,67686,Resurgent,2025-07-31,
125138,PCB671C9D25FC,125138,Resurgent,2025-07-31,
67783,PCB6F29AD01DE,67783,Resurgent,2025-07-31,
100373,PCB8A675BD329,100373,Resurgent,2025-07-31,
97308,PCBF44164B3C4,97308,Resurgent,2025-07-31,
97956,PCC3E4BADB631,97956,Resurgent,2025-07-31,
98445,PCC4DC14E9516,98445,Resurgent,2025-07-31,
